housing_median_age,total_rooms,total_bedrooms,population,median_house_value
28,3539,441,1190,500001
28,6748,904,2431,500001
28,6920,906,2515,500001
26,10111,1295,3599,500001
23,9657,1189,3585,500001
28,6270,1706,2549,295800
42,1293,214,459,467600
26,2900,667,1090,447400
31,1856,425,795,360600
29,5474,1457,2352,382500
44,1778,251,641,500001
15,4420,1076,1669,359100
37,1335,286,539,301700
38,1387,337,713,304500
22,7828,2038,3303,318300
10,1091,260,517,332600
20,3876,799,1334,478400
38,1495,300,598,265400
16,4590,1200,2195,334900
7,6306,1473,2381,457300
30,3823,740,1449,392500
43,804,117,267,500001
31,2536,429,990,495500
30,3507,536,1427,500001
31,9320,1143,2980,500001
34,5264,771,1738,500001
36,2873,420,850,500001
34,3646,610,1390,500001
44,1693,239,498,500001
37,4400,695,1521,500001
33,1741,274,588,490800
52,1680,238,493,500001
41,3545,698,1221,500001
34,3659,921,1338,366100
23,4604,1319,2391,263100
29,2630,617,1071,376100
42,2358,546,1065,320600
36,2933,619,1115,365900
29,3110,650,1212,394400
29,917,181,379,425000
20,4084,1062,1637,256300
31,3881,909,1535,369100
33,4032,868,1695,425900
48,680,131,268,371400
18,1880,420,681,372300
31,1861,430,736,355900
17,277,70,119,341700
46,54,9,20,375000
41,2394,500,837,380400
44,2515,510,967,374500
24,3891,866,1568,364700
46,1628,259,500,424000
30,1376,317,629,295200
8,4382,1560,2138,197900
21,4670,1161,1914,367700
42,1253,225,492,386700
19,5076,1034,2021,309200
36,2696,713,905,373500
39,1610,278,511,385900
41,3257,679,1237,409600
36,6871,1180,2216,495600
23,1883,512,774,396400
28,4287,627,1498,500001
34,4624,781,1572,500001
40,1965,354,666,483800
32,8262,1156,2712,500001
52,1695,281,595,399300
45,417,89,187,360700
33,778,143,258,497600
27,3990,892,1417,500001
38,3830,518,1292,500001
52,2298,406,1203,274600
52,1388,271,735,247700
52,3800,646,1842,293900
46,2387,488,1181,257900
38,1826,300,793,291500
39,277,89,182,175000
50,3657,708,1725,258100
35,2983,526,1614,272400
52,2090,466,1219,204200
44,1681,407,1105,186500
25,1908,628,1412,189800
51,1941,378,1012,217000
47,2525,523,1514,209200
52,2012,458,1314,180400
52,2035,459,2589,193600
52,2465,611,1433,214200
47,1585,420,949,173800
52,791,174,501,178100
52,2228,475,1311,182100
52,1081,311,904,165100
45,2397,488,1569,167900
35,2568,672,1696,169200
29,2640,737,1795,173400
30,3376,720,1990,232000
50,1309,302,883,198000
52,679,132,483,162500
41,2591,682,2366,146400
44,1219,324,1036,170600
36,2833,720,2148,172100
30,3369,824,2032,196400
50,2929,588,1931,173600
52,1580,426,1462,167600
41,1908,503,1557,162000
52,1590,360,1127,173900
41,1904,514,1666,175800
52,1301,389,1189,190000
52,678,173,791,171300
46,3659,1068,4153,162900
52,1901,525,1856,156400
44,1565,398,1500,155600
46,3387,820,2833,176900
40,1266,348,1032,150000
35,2524,749,2487,167700
33,1523,391,753,183800
44,1346,398,1204,152200
38,1158,309,1051,169300
26,1638,457,1155,143800
42,1577,379,1317,153900
36,1441,534,1809,185700
37,2040,611,1698,166300
30,3643,1197,4336,154500
32,2759,499,1661,228200
40,1684,316,795,218300
47,5077,1271,3348,186800
35,4003,788,2785,252100
38,1051,249,799,143800
46,2483,587,2121,152900
36,2000,533,1234,241700
34,1660,412,1678,148200
33,1903,386,1187,196600
41,1353,379,1536,157000
42,1706,488,1941,149700
36,1427,415,1835,138900
45,1072,275,996,165000
41,438,201,690,181300
47,1162,235,781,244400
48,737,166,462,212500
40,2749,580,1375,205800
34,609,149,407,185800
37,1799,426,1088,244500
28,3306,1025,2670,185400
35,1937,439,1523,170500
36,2870,529,1371,220900
37,1298,242,750,240800
28,1546,465,974,183800
41,1213,301,801,204200
32,2094,491,1413,221100
31,1021,191,495,223500
35,4148,971,3220,187100
11,1281,418,1584,153100
29,2904,892,3320,168800
34,80,26,125,154200
50,2141,451,1777,178800
39,1148,348,1161,176700
33,2612,646,2496,156000
45,2839,698,1768,214000
47,2183,510,1445,210900
43,2230,583,1667,217800
43,2222,635,1817,208900
39,1415,369,1467,156300
42,1525,456,1688,141300
52,125,42,99,170000
42,598,147,312,164300
42,4198,956,1935,277300
52,1740,402,749,270700
29,3768,1211,2320,204500
47,1375,359,1512,208900
46,1613,396,966,230300
36,1832,539,934,276600
39,3825,916,1378,352600
38,4453,1156,1830,495600
45,1607,331,633,438300
50,2384,312,836,500001
52,1942,476,1375,209100
52,2290,520,1278,238200
50,2037,440,1089,230600
30,2774,570,1076,500001
40,2681,737,1144,264300
39,2196,582,1165,254200
43,1711,443,1190,265500
24,3696,1125,1685,266700
49,2850,379,1113,500001
48,1448,295,681,436400
52,3136,675,1213,391900
37,5305,1980,3895,283300
25,1590,218,568,500001
52,1954,245,645,500001
52,1875,303,735,433300
39,3895,561,1271,500001
40,2822,443,907,498700
52,3410,800,1218,393500
42,2462,543,857,434400
33,5135,1450,2404,435700
48,4472,1579,2796,410700
38,3495,1100,1939,438300
48,1601,464,784,342900
37,2330,434,846,430200
34,1856,273,540,500001
23,1894,416,769,500001
45,2375,417,751,500001
23,4574,1423,1624,500001
40,5485,1242,2034,500001
26,3977,1050,1720,364500
52,1295,281,578,405100
52,1096,247,423,500001
18,7432,2793,3596,225000
16,2930,1038,1648,372200
20,2745,782,1161,436400
18,4109,1301,2103,250000
24,5477,1803,2863,237500
51,937,348,527,468800
29,3193,1452,2039,500001
24,1996,791,1215,325000
28,2223,752,1271,232100
30,5293,2446,4123,187500
43,2732,1646,3049,333300
40,4984,2158,4828,350000
28,1759,716,1463,450000
35,7517,2961,5899,340000
25,3926,1715,4865,262500
36,2288,1033,3030,250000
33,766,347,918,350000
48,1116,524,1610,237500
45,1913,696,1552,237500
43,1615,734,1460,193800
34,2473,1171,2655,162500
30,1679,682,1445,200000
29,732,288,691,250000
34,399,141,482,67500
34,2065,839,2626,211100
28,720,267,891,100000
32,563,191,626,250000
27,210,98,332,175000
36,1655,690,1957,221900
34,1478,675,1976,225000
31,622,229,597,200000
30,2193,965,2197,137500
52,786,270,756,206300
29,3403,1367,3432,166700
40,3058,1215,3953,218800
36,787,420,1506,216700
38,2067,914,2717,250000
36,2284,899,1964,203300
34,2716,1114,2991,187500
36,2332,993,3155,230400
39,631,298,744,162500
29,2240,792,2254,172500
38,790,275,664,175000
43,1583,658,1941,225000
28,1562,648,1974,112500
35,2198,998,3441,158300
35,2624,1116,3548,198400
39,336,173,586,262500
52,1272,322,984,261600
29,3245,1190,3906,253300
25,2345,852,2860,205600
32,2202,674,2178,226700
36,2517,842,2446,187500
30,3165,1263,3678,240600
42,1951,846,2500,218200
30,1871,766,2595,212500
28,2173,819,2548,218800
36,654,186,416,200000
36,561,180,340,165000
40,2004,687,1514,220000
5,2665,954,1733,204700
14,3032,999,1691,210000
50,3457,854,1584,346700
52,1731,502,849,321600
52,1430,186,547,500001
47,1800,546,921,280600
52,1003,200,514,395700
52,2088,388,908,342000
42,2210,643,1228,315800
52,1710,350,727,333900
52,1965,480,794,304800
52,1164,257,575,380400
52,1777,454,671,500001
50,2989,832,1345,442900
30,1390,457,1460,254500
31,2275,823,2189,287500
46,2038,534,1250,358100
23,1443,521,1264,220000
52,1137,304,754,330300
52,2370,473,1053,380300
34,2501,1047,3326,247500
36,1276,503,1502,205600
27,1514,510,1603,251100
26,1609,534,1868,227100
34,479,182,557,210000
23,1864,937,2795,212500
34,1562,651,1774,225000
32,2880,1063,3646,258300
25,2459,823,2635,173900
38,380,130,445,137500
34,2821,399,843,500001
26,3902,610,1468,500001
33,7478,1678,2701,500001
35,3946,695,1361,500001
38,2601,523,870,416700
42,5518,979,1863,500001
36,2963,838,1129,500001
37,407,67,100,500001
39,3798,586,975,500001
30,6310,957,1776,500001
41,730,126,230,500001
38,2158,582,1061,355300
40,3110,764,1557,367100
52,2946,695,1258,374100
22,3008,938,1224,300000
31,2697,706,1059,500001
45,2195,483,1265,397900
52,1466,254,600,393600
52,1234,223,543,423700
48,2566,571,1421,318600
52,1310,263,689,350000
51,3149,519,1082,421600
41,3729,740,1364,412700
41,4138,1130,1859,306800
46,1156,203,514,352100
52,2036,348,775,397500
52,1803,437,787,360500
44,2728,585,1227,324000
50,2113,398,793,304600
49,1767,467,1066,210900
48,805,246,633,200000
49,2843,880,2004,217300
48,1527,295,589,344800
52,3225,763,1559,268800
52,2273,663,1480,196500
52,2327,555,1048,252300
51,1532,366,669,278800
36,3503,833,2652,241400
52,1079,222,439,230800
44,3646,912,1783,225000
52,984,276,994,166700
41,1396,360,1069,203300
46,945,250,910,187500
35,1147,365,1016,198800
36,2306,813,2823,170500
28,579,184,673,187500
38,2265,801,2899,157500
46,3007,854,2587,184300
42,997,374,982,200000
52,2465,773,2328,203100
43,962,253,658,185000
38,1270,556,1692,170800
42,1618,522,1454,182000
52,1739,464,938,228800
39,3162,896,1934,213500
40,1630,543,1568,169100
49,3828,1197,2862,219200
35,1335,440,1586,156300
40,506,119,397,143800
52,109,20,86,187500
52,137,26,65,137500
47,859,239,913,136100
49,1638,456,1500,150000
45,1747,484,1680,155500
52,2050,429,957,210000
52,104,20,32,241700
44,1425,438,1121,200000
47,2133,689,2104,169200
43,1903,635,1919,174300
52,1866,470,1211,189400
50,1791,660,2183,166700
45,2174,627,1992,167800
52,3142,765,1728,189800
45,2225,827,2699,179200
46,2341,703,2371,181700
52,830,200,701,232100
47,2059,618,2033,217900
43,764,322,1275,175000
20,41,17,87,225000
27,223,80,249,137500
18,4297,1420,4332,192500
16,719,225,801,133300
40,1081,282,970,150000
31,394,117,573,154200
34,1709,562,2105,152100
38,1241,298,1055,115500
49,1320,309,1405,114000
21,1353,380,1688,139600
34,1765,551,2203,159600
39,986,361,1347,133900
26,2574,807,3163,173200
39,1594,430,1668,138200
41,1807,429,1699,126000
39,2054,423,1205,213000
52,3672,808,3062,153000
39,1287,353,1171,138500
39,1561,445,1780,144200
37,1822,498,1961,159200
35,1504,477,2059,145800
36,839,250,1079,158300
31,1077,300,1198,160200
47,1346,383,1452,191700
31,1453,404,1486,153100
42,902,318,1312,168800
29,1478,413,1580,147500
36,3334,920,2881,170800
48,2514,595,2484,142500
37,299,89,318,145800
45,1327,271,1069,153800
40,2744,708,2747,148800
44,1688,426,1605,184900
41,2090,530,2043,144200
10,1907,398,921,200400
10,1940,445,763,166700
7,2529,689,1215,153100
8,1116,267,435,230900
35,2226,602,2230,129300
35,1554,381,1487,139500
38,2965,665,2128,166300
42,1555,337,1152,169600
44,1734,364,1133,163100
33,1515,415,1345,175000
50,1568,302,1093,162100
36,3066,797,3097,156500
33,2907,797,3212,146600
31,1318,311,1164,135500
33,1369,408,1475,151900
43,1523,378,1338,144600
39,787,181,731,158500
33,851,231,936,147500
28,2616,630,2218,156000
19,2150,544,1510,150000
41,247,55,925,135700
37,1155,225,814,148500
27,2025,565,2189,148600
32,555,159,748,137500
47,2324,658,3020,93800
46,453,119,533,112500
40,1181,335,1441,111800
8,762,204,728,137500
46,1051,302,1435,133600
36,2672,675,2883,142800
37,349,79,276,125000
46,321,101,401,109400
30,511,153,1152,156800
52,48,6,41,112500
36,1243,470,1668,137500
52,470,115,434,109100
34,1083,364,1132,153100
41,1422,478,1640,157100
26,745,258,694,129200
28,1079,306,1358,131900
28,950,357,1485,136400
45,2146,607,2868,144000
43,1165,317,1279,141700
40,1146,323,1354,121900
40,1082,318,1085,117200
42,1703,586,2490,147200
41,1268,398,1887,150000
43,977,266,1084,127900
41,1098,264,1178,124300
50,1407,401,1526,121800
45,963,234,1194,134900
40,1095,305,1322,150000
52,1053,246,1036,136700
50,1183,246,851,142600
52,1249,307,1223,136300
47,1894,408,1629,127600
52,1754,452,1849,122800
44,1399,386,1419,143800
36,1625,490,2003,147200
44,1582,544,1998,125000
18,796,227,547,135400
36,1825,479,2097,135300
37,845,249,881,165000
47,1325,393,1557,148400
28,1841,809,3199,151600
52,846,271,1153,155000
43,1153,411,1667,139300
47,722,235,930,114300
43,798,308,1417,141700
44,1105,346,1598,115600
43,2343,803,2468,115000
43,1502,477,1844,152500
47,1306,391,1499,139600
45,554,214,888,139600
45,1860,472,1893,141800
44,1550,407,1718,141100
52,497,132,547,146300
47,876,228,872,145000
41,1292,334,1150,135200
49,1098,317,1411,146000
52,774,209,813,135200
37,1583,392,1776,140800
52,583,157,730,140600
45,792,203,872,129700
44,2702,770,3260,144800
48,2230,593,2419,130700
26,36,9,35,175000
42,498,120,548,126600
52,22,7,55,67500
43,1811,513,2123,133300
52,346,270,346,225000
13,1703,697,1823,181300
52,116,107,171,112500
33,390,199,435,350000
8,1204,552,1074,87500
19,2870,1021,3325,162500
52,2806,1944,2232,350000
8,3105,1256,1086,275000
12,4011,1438,1673,287500
52,58,52,41,500001
6,1529,566,1051,162500
52,174,66,249,312500
15,326,123,490,175000
40,637,273,1150,131300
52,1802,613,2382,185900
40,680,273,995,165600
30,929,238,763,187500
38,715,282,1174,225000
42,2541,1282,3974,87500
42,1175,428,1593,213300
30,1771,788,2188,154200
34,786,341,1239,152100
32,1657,579,2071,152500
33,1416,686,2013,208300
33,1177,468,1533,183300
41,1072,331,1111,207100
24,3247,1281,2642,216700
14,1924,926,2226,265900
32,1777,536,1684,190000
25,7522,3179,7221,177500
14,1787,853,2251,400000
17,2518,1196,3051,175000
17,2124,1168,3915,137500
25,1714,1176,3723,112500
45,564,353,1172,187500
26,513,338,1204,275000
33,1950,1047,3707,110000
37,350,245,1122,137500
52,1292,864,2081,275000
52,1261,616,2309,225000
52,936,454,990,187500
25,1316,836,2796,325000
26,1164,674,1685,225000
28,1306,637,2079,275000
31,1525,730,2510,162500
41,1788,774,2931,158900
41,1075,597,2260,162500
44,968,384,1805,212500
47,661,359,1406,112500
24,323,214,751,225000
12,535,328,1194,275000
52,2156,306,861,500001
52,1841,240,693,500001
52,2248,255,813,500001
52,1482,171,531,500001
52,2089,309,883,500001
52,1311,310,707,432800
49,649,315,987,316700
19,3013,1118,2465,290600
9,1554,815,1704,141700
22,492,269,634,300000
26,2302,1124,2660,253100
43,3056,1345,3920,300000
31,1489,664,1793,230600
46,5677,2610,7443,237500
26,2107,757,2660,282300
36,2657,738,2274,281700
28,2362,949,2759,305600
49,2549,630,1539,350900
40,2657,794,2149,445000
52,2980,366,967,500001
36,369,147,145,450000
52,983,246,578,500001
25,2740,707,1420,404500
52,955,100,457,500001
26,5062,2055,4533,166700
30,3110,1269,2535,412500
20,3264,1248,2919,500001
20,1782,896,1749,75000
34,2470,1197,2326,325000
24,4021,1707,3727,112500
28,5221,2530,5840,300000
43,1366,740,942,150000
42,3894,2293,6846,70000
27,2456,1111,4137,187500
46,1759,1012,2716,350000
47,1390,872,2860,137500
23,2040,778,2235,233300
33,2437,1283,3906,270000
21,3960,1490,3468,475000
23,2512,1203,3720,322200
24,1336,453,1268,500001
47,3038,1533,4225,187500
34,1848,667,1351,410000
52,2124,756,1920,328900
31,2827,1084,3107,360000
14,1559,646,1639,380000
42,3292,713,2224,291500
43,2808,584,1654,436800
36,3239,722,1383,337000
52,1368,231,737,433800
48,2405,527,1868,257800
44,1574,390,1323,226300
45,1707,519,1446,171300
50,1389,364,976,327300
42,3343,1183,3480,250000
35,1692,423,1578,305800
40,1667,365,1161,417600
44,1612,650,2028,115600
42,1476,610,1605,214300
42,443,223,582,350000
46,1386,457,1845,157700
31,1744,720,2034,193800
30,1417,589,1615,193800
36,1723,569,1664,161100
34,1453,588,1987,187500
18,3585,1661,5229,250000
11,677,370,1143,350000
31,2818,1252,4126,229200
52,1801,313,714,479000
52,2497,406,1030,500001
52,2315,356,894,500001
52,2066,319,981,450000
52,1421,163,495,500001
52,1721,195,688,500001
52,1621,284,588,500001
52,3421,598,1203,500001
52,2756,542,971,500001
52,2877,721,1186,175000
52,2373,601,1135,225000
52,1902,488,848,175000
48,890,255,434,450000
45,7803,2154,3359,287500
46,1651,410,512,350000
45,3312,880,1157,500001
40,1821,447,777,355200
48,1740,360,748,411100
52,2046,451,944,456900
52,2203,437,899,486900
52,2195,435,884,486400
44,2703,663,1045,287500
39,2309,526,870,453400
52,1084,247,468,474300
25,4625,1307,1739,485000
16,4814,1381,1897,375000
21,3653,956,1510,500001
52,3175,1057,1594,225000
52,3446,1360,1768,500001
52,1314,170,629,500001
52,2530,458,1122,321600
52,2069,417,826,396000
52,1482,336,768,327300
52,2837,602,1164,250000
48,1354,279,716,385000
52,1368,322,617,440900
33,2880,836,1416,328800
48,3551,826,1601,400000
39,2810,670,1109,355000
52,2130,455,921,500001
52,843,160,333,446000
52,1608,289,630,500001
28,2522,616,991,362500
29,3946,1008,1676,450000
31,4345,1158,1987,310000
25,2558,661,1183,500000
35,2457,552,1159,345300
52,1197,231,671,278500
48,1266,234,539,275000
41,2369,544,1252,296100
52,2239,423,832,470000
52,2346,437,1121,444300
52,1563,306,776,440900
52,2402,506,878,500001
48,1825,404,728,322600
47,1424,300,632,295200
48,1835,380,956,243600
49,995,184,462,242000
45,1879,395,946,254700
50,3518,812,1724,338100
52,2053,480,900,417900
47,1621,314,724,474100
52,1004,231,590,351000
52,1241,210,526,334100
40,2352,598,1133,287500
35,3517,879,1632,500001
47,2815,679,1533,234100
44,1856,493,1374,158000
46,2149,451,905,290800
50,2009,419,1130,213500
39,975,292,723,140600
52,1971,414,1065,195800
52,2194,504,997,259400
39,2965,812,2638,172700
39,1294,330,1140,165000
48,1184,328,953,156300
31,1090,251,955,192500
46,3015,795,2300,268500
52,2545,401,1004,420000
41,2099,472,1369,167100
35,2345,607,2042,139700
40,2064,662,2140,127100
37,1466,529,1835,123200
36,1956,601,1672,150700
49,1104,266,668,151600
45,1579,357,713,179200
48,1769,429,993,139400
45,1767,417,1052,157000
38,1626,375,1019,146800
43,1690,379,1017,133500
34,3239,806,2331,125800
41,1617,423,1110,169400
44,865,208,537,110900
45,1839,459,1312,138000
42,1681,360,987,171400
48,1426,331,784,118800
42,2010,494,1203,134600
35,1438,333,794,138100
33,1806,444,1161,161500
33,2314,624,1714,183900
48,2437,443,1400,251100
47,1989,532,1430,151100
42,1766,404,1117,168800
44,1008,223,544,176800
35,3189,935,2221,114000
39,2840,826,1911,137500
47,1082,198,455,223200
50,1845,349,1109,127800
47,1734,453,1272,121500
52,2511,587,1660,127100
51,2010,460,1355,133400
47,1648,346,1120,114200
45,1667,399,928,118200
46,1528,391,933,125700
46,2312,625,1552,125000
48,1614,320,684,181000
44,2067,385,1046,156900
49,2334,530,1334,124000
43,2122,524,1510,123300
52,427,92,233,134700
42,2043,512,1634,125400
36,1083,342,1023,143800
40,2323,661,1847,113500
38,1400,376,1139,120000
35,1819,499,1666,125900
38,2365,638,2259,120700
43,1350,287,811,140900
46,2437,502,1151,134100
49,1609,371,896,136600
50,1172,261,685,130300
49,1295,276,765,130200
47,1927,561,1349,125000
43,1356,333,796,189700
41,1425,285,838,188400
44,1944,458,981,193200
35,1627,838,3013,152500
39,1155,433,1857,153400
41,659,291,1224,132500
40,907,349,1426,143800
48,1353,488,1945,123700
50,1757,522,2080,180000
51,1005,314,1227,162500
39,993,506,1765,121900
38,1864,515,1768,190600
35,2007,571,1513,229200
26,1809,640,2543,500000
33,2691,726,2390,208300
29,2038,578,2070,214600
29,2438,867,2114,150000
31,2206,501,1194,227800
52,1277,285,954,234600
24,2092,585,1757,175000
37,1470,399,1579,150000
37,2338,686,2376,170300
44,1941,579,2049,143000
41,1653,426,1868,162500
35,1090,345,1605,152800
31,700,299,1272,128100
32,432,182,702,125000
42,1680,557,2099,136400
45,943,289,953,151600
42,907,378,822,179200
29,3544,1384,3323,258300
38,1501,437,1777,135200
22,3313,1235,2381,168800
27,1084,287,1085,119600
46,2173,510,1343,135500
52,1902,406,1233,132200
52,1173,284,814,111400
44,1555,324,931,105800
45,1423,278,822,98100
52,1832,441,1186,98400
47,2241,559,1775,147900
40,1695,374,1138,150000
37,2781,766,2586,187500
34,2041,517,1479,156600
23,1703,397,1333,127100
46,1976,469,1409,112100
49,2120,483,1522,116800
21,1641,491,1526,141300
34,3184,772,2474,137500
31,1933,478,1522,119300
29,515,229,2690,500001
50,395,232,948,175000
51,1280,422,1560,125000
19,460,241,890,162500
24,1283,545,1932,160200
25,1582,780,2390,200000
20,1193,454,1880,180000
44,1273,474,1754,275000
41,1933,791,3121,147500
40,2118,796,2195,164600
48,1521,513,1772,162500
39,2004,633,3050,127300
52,281,103,470,38800
40,561,284,662,187500
26,2107,809,2821,350000
25,1407,550,1193,225000
50,180,89,356,158300
52,142,47,137,312500
49,299,90,287,100000
52,1274,418,1655,124000
32,1375,448,1698,130700
38,980,285,1308,123100
38,1091,349,1786,136500
40,1259,362,1499,126400
37,1551,501,2173,117700
48,1465,440,1859,96200
46,1249,357,1607,114800
41,848,323,1428,109600
39,698,232,1046,119500
35,1368,486,2239,114300
33,1676,525,2564,100800
28,481,136,596,90300
32,1311,410,1792,119900
48,542,150,571,90600
48,396,99,485,107500
43,1456,444,2098,99200
31,1301,403,1952,100800
30,405,86,376,127500
45,782,270,1030,93400
36,879,262,1034,99300
43,1429,386,1412,107200
43,1575,475,1980,100500
30,962,291,1280,110200
38,697,208,749,118800
47,1269,323,1628,115800
37,2451,668,2824,99600
42,990,289,1167,126800
46,879,253,1010,118300
21,1314,375,1505,97200
35,1193,355,1784,116100
35,1672,556,2106,129200
47,921,264,881,114100
43,1235,385,1745,113300
46,1748,428,1707,103800
48,1869,461,1834,107400
47,780,237,888,95800
43,2179,682,2624,108200
41,1733,492,1776,104200
36,1033,267,1112,105800
36,1176,309,1267,105000
32,1218,342,1292,102900
41,1768,475,1721,90400
34,1905,552,2194,95800
23,588,157,716,87500
43,863,206,788,95000
29,1419,363,1696,101300
38,1715,414,1714,108200
44,448,116,504,98600
41,1425,372,1803,88200
42,2261,574,2496,98500
39,1274,319,1362,107900
27,1611,479,1457,91900
37,2615,697,2484,103400
40,2099,599,2311,101500
43,1638,434,1213,110800
43,1258,381,1276,106900
47,1865,465,1916,95000
36,2016,505,1807,103500
30,504,140,529,100000
35,932,294,1153,100000
38,1407,447,1783,97100
46,441,167,621,162500
46,1098,426,1510,156300
40,885,312,799,143800
48,4217,1095,3298,122300
27,2190,626,1768,103800
26,2001,582,2044,118800
42,2386,670,2327,108000
35,1147,290,818,111700
50,1463,354,912,109400
41,1046,216,727,116900
43,2255,533,1568,115200
39,2073,566,1246,117100
46,2217,489,1227,108800
48,2544,532,1357,121000
52,2547,475,1417,123200
52,1793,350,1303,123700
42,814,223,511,123200
50,2238,673,2247,125000
52,1743,421,1206,116000
52,1908,428,1271,136200
52,1444,343,1154,134400
34,2305,775,2450,132000
46,1650,463,1992,114100
6,1487,468,1509,112500
39,751,207,1010,137500
30,1385,518,1730,142500
50,2601,794,3080,122900
43,713,245,880,103600
52,795,308,1118,131300
48,483,190,775,126600
38,3335,921,3612,118800
42,1534,417,1295,119200
42,855,284,890,112500
44,2636,725,2182,124000
48,1514,376,1353,96100
44,1753,387,1165,105800
41,1807,493,1731,111700
52,1319,295,898,128600
40,1131,281,859,134600
52,1420,355,1080,116100
52,2579,494,1558,109600
52,1686,377,982,116400
52,1296,246,853,111600
52,1542,309,939,129100
52,1718,354,1026,128000
52,1630,379,1413,120000
52,2709,642,1751,122500
47,1551,362,1329,116400
48,2235,433,1363,101400
47,1525,359,982,126600
45,1489,339,791,104800
44,1703,358,789,100000
46,2608,636,1766,114800
47,2637,588,1903,96500
47,2212,533,1903,101100
46,2577,703,2446,98300
46,2198,530,2067,103400
52,1283,342,1363,101900
49,2174,481,1861,95000
46,1211,321,1153,99300
52,3104,645,1498,128000
50,1655,256,672,194300
48,1949,308,823,189700
50,1842,377,817,157700
47,1745,371,1079,123400
46,2223,361,968,182600
47,1320,259,653,193000
42,2043,378,869,181100
44,4032,913,1622,165800
43,2227,564,956,187500
44,1762,463,786,188500
44,2182,492,878,181300
50,3250,693,2300,112600
50,2189,460,1097,120900
47,1671,388,895,121500
47,825,187,416,133300
24,873,320,529,151600
43,2028,479,1074,98700
49,1407,269,889,114200
44,1918,387,1041,126500
46,1582,315,777,149600
48,2009,335,919,170500
48,1260,284,791,115200
43,1257,232,735,108900
43,2224,550,1598,122500
46,1217,322,662,140300
47,949,210,574,114700
40,1298,277,791,104300
47,1528,331,864,101000
46,1611,339,921,103300
28,3889,1199,3121,113900
32,1784,489,1472,108900
38,3063,796,2153,149100
48,2225,433,1170,140400
46,2126,409,1292,149000
47,2183,380,927,180100
47,2512,461,1082,207600
34,397,132,250,166700
44,1448,314,861,108600
52,1778,320,795,138800
49,1412,333,901,118600
30,3112,931,2739,118500
44,2526,579,1423,158800
47,1830,369,922,156400
46,3745,798,1502,195800
33,3140,466,1214,350400
33,2263,430,900,246800
31,1893,450,819,140600
11,1249,313,625,170500
35,1359,359,655,312500
37,4291,1102,1941,106300
38,2318,735,1407,266700
44,1527,246,608,187800
34,3978,1073,2725,167900
34,5218,1576,3538,118800
27,3358,1069,2415,87500
33,3246,601,1585,353200
28,3085,621,1162,301000
35,1138,304,1128,100000
37,1971,513,1673,103000
39,979,235,857,108900
41,1582,416,1422,108300
43,1902,398,1153,112900
44,1458,326,1159,98200
43,1534,384,1231,94500
44,1597,388,902,93300
45,1701,452,1484,91400
44,222,54,234,111700
49,857,196,694,108000
52,1837,426,1062,96500
52,1607,331,900,96600
50,1985,454,1090,106600
52,1975,379,1043,112200
49,1993,446,1052,119800
44,2261,555,1348,97200
48,1124,231,783,93100
52,1371,315,986,94000
48,2010,445,1208,95800
48,1998,410,1176,102400
44,1242,270,811,95200
42,2833,768,2542,100000
46,1118,300,786,110000
39,1306,345,1332,92200
47,865,193,782,93000
45,1720,416,1382,92300
19,883,313,726,121400
30,1162,318,1207,100000
31,1068,271,1091,102600
31,2017,566,2063,107000
35,2305,634,1978,100000
43,2660,672,2133,107300
46,1425,317,1140,98500
44,1521,289,1074,99800
42,944,200,567,124100
50,2270,451,1000,119400
52,1595,325,823,124200
47,2066,422,1156,125800
52,1629,277,819,142600
48,1541,314,819,136100
41,1353,286,751,131700
50,1843,326,892,120000
43,1823,358,1065,131000
44,1558,333,1095,133500
44,2490,430,1305,149600
43,2104,393,1132,142000
43,2118,569,1266,121000
43,2149,493,1316,131800
46,1686,303,870,136300
48,2015,356,1020,138700
48,3139,587,1319,134200
36,1717,417,902,113200
43,2009,442,1095,109500
39,2802,618,1524,136300
41,1175,340,1241,98400
34,2074,562,1913,102100
34,2771,802,2782,99000
31,4022,1208,3707,116300
47,2112,417,1161,117400
52,2523,460,1167,127400
47,1586,322,1077,140400
47,2005,392,1134,140300
30,1702,443,1966,97500
30,1966,584,2028,101500
38,1454,323,1098,104000
41,656,162,730,101800
43,1240,312,1100,97500
45,1696,424,1502,99200
39,2062,588,1933,97000
44,1722,457,2177,92500
43,762,206,854,98200
46,1295,351,1120,98200
44,1246,308,1031,96300
46,1521,352,1100,100600
46,1086,249,880,95700
45,1546,371,1186,96800
40,2180,642,2464,90100
39,2569,688,2601,101400
38,1819,497,2110,97300
38,977,295,1073,86400
42,796,203,697,92600
37,1812,500,1640,99100
47,1504,374,1168,94200
40,1475,347,1222,95300
39,1255,323,902,94000
52,1331,346,1144,90600
34,1462,394,1310,90100
38,1126,270,999,91700
34,1040,276,1083,90900
39,1529,358,1154,97900
38,1387,346,1240,95100
44,1513,369,1088,94400
39,1542,375,1256,100000
37,1625,383,1243,89800
42,1604,399,1581,96700
40,2044,538,2150,94800
42,1206,304,1167,101300
39,882,221,697,99100
23,1983,611,2048,91400
35,1401,362,1357,99300
32,721,205,842,89700
39,1340,409,1463,111400
40,2808,695,2357,102300
39,1701,428,1468,93200
43,1201,292,840,105600
34,1089,278,995,107700
35,2073,494,1753,93600
43,1156,291,1074,94900
30,1041,275,877,91600
